0_x,0_y,0_x,0_y
2782.5199536604,0.,2782.5199829859,6771.
2782.5529538912,8.,2782.5531038565,6679.
2782.5856243891,16.,2782.5857333464,6682.
2782.6186465544,24.,2782.6188267988,6687.
2782.6516765875,32.,2782.6516978068,6690.
2782.6845967096,40.,2782.6847845835,6692.
2782.7176865858,48.,2782.7177976889,6703.
2782.7506999296,56.,2782.7507101816,6712.
2782.7836720270,64.,2782.7856525702,6722.
2782.8166360182,72.,2782.8167979044,6723.
2782.8496279043,80.,2782.849751882,6734.
2782.8826383871,88.,2782.8827106279,6746.
2782.9170054716,96.,2782.9171594900,6750.
2782.9486147684,104.,2782.9487926287,6752.
2782.9816355032,112.,2782.9817547125,6763.
2783.0146710199,120.,2783.0147990507,6771.
2783.0476626677,128.,2783.0477890295,6775.
2783.0806321425,136.,2783.0807410998,6783.
2783.1136876864,144.,2783.1137542051,6790.
2783.1466881556,152.,2783.1468252463,6797.
2783.1796354574,160.,2783.1797134203,6808.
2783.2125806135,168.,2783.2127258104,6815.
2783.2456993384,176.,2783.2457320017,6822.
2783.2810489458,184.,2783.2811748308,6830.
2783.3116735739,192.,2783.311733417,6841.
2783.3446764273,200.,2783.3447324556,6843.
2783.3786348623,208.,2783.378755979,6855.
2783.4116606039,216.,2783.41178482,6867.
2783.4456044954,224.,2783.4457794947,6881.
2783.4786152166,232.,2783.4787341875,6883.
2783.5116955561,240.,2783.5137121004,6893.
2783.5446655077,248.,2783.5447940153,6904.
2783.5776016039,256.,2783.5777210516,6915.
2783.6106995863,264.,2783.6107186598,6921.
2783.6449496073,272.,2783.6450917048,6934.
2783.6765741629,280.,2783.6766907496,6943.
2783.7096652311,288.,2783.7097751421,6949.
2783.7427005095,296.,2783.7428747934,6955.
2783.7756671232,304.,2783.7758232874,6962.
2783.8105906767,312.,2783.810740642,6970.
2783.8436950964,320.,2783.8437773508,6973.
2783.8791384024,328.,2783.8793231768,6980.
2783.9106368345,336.,2783.9107848925,6986.
2783.9436909479,344.,2783.9438230318,6996.
2783.9776651186,352.,2783.9778172297,7005.
2784.0105869097,360.,2784.0107089800,7010.
2784.0446073336,368.,2784.0447494311,7018.
2784.0776433272,376.,2784.0777885241,7034.
2784.1129802984,384.,2784.1131481451,7040.
2784.1435639185,392.,2784.1437079233,7050.
2784.1766228003,400.,2784.1767610830,7061.
2784.2107354921,408.,2784.2107629103,7068.
2784.2436298651,416.,2784.2437829298,7076.
2784.2775794787,424.,2784.2777199072,7087.
2784.3106743616,432.,2784.3107237143,7097.
2784.3469838423,440.,2784.3471178335,7107.
2784.3776678366,448.,2784.3777720255,7119.
2784.4106339735,456.,2784.4107798857,7127.
2784.4446315092,464.,2784.4446906370,7137.
2784.4775811953,472.,2784.4777194780,7145.
2784.5116271299,480.,2784.5117725653,7156.
2784.5446216387,488.,2784.5447677893,7157.
2784.5809861941,496.,2784.5811120791,7165.
2784.6116258425,504.,2784.6117729468,7171.
2784.6446728033,512.,2784.6448327822,7178.
2784.6786481661,520.,2784.6787902636,7182.
2784.7116345686,528.,2784.7117125315,7191.
2784.7456397337,536.,2784.7457656187,7199.
2784.7786239905,544.,2784.7787772936,7207.
2784.8149701876,552.,2784.8150822443,7214.
2784.8456324858,560.,2784.8457557482,7215.
2784.878671102,568.,2784.8788041395,7226.
2784.9126450342,576.,2784.9127561373,7237.
2784.9455799383,584.,2784.9457258505,7243.
2784.9796079916,592.,2784.9797539038,7251.
2785.0126692576,600.,2785.0128313822,7258.
2785.0489596647,608.,2785.0491105837,7265.
2785.0796088499,616.,2785.0797318739,7273.
2785.1126324457,624.,2785.1127614302,7279.
2785.1456252855,632.,2785.1457304281,7294.
2785.1789712233,640.,2785.179070167,7303.
2785.2116281313,648.,2785.2117764277,7309.
2785.2446524424,656.,2785.2447709364,7315.
2785.2776710314,664.,2785.2777981085,7330.
2785.3106223864,672.,2785.310771398,7339.
2785.3436500353,680.,2785.3437749666,7343.
2785.3766550345,688.,2785.3767961783,7345.
2785.4097461027,696.,2785.4116958899,7350.
2785.4425939840,704.,2785.4427139086,7358.
2785.4756025595,712.,2785.4757425112,7361.
2785.5085644049,720.,2785.5087079329,7368.
2785.5429114622,728.,2785.5430623812,7376.
2785.5746506971,736.,2785.5747377199,7385.
2785.6076731009,744.,2785.6077691836,7389.
2785.6405996603,752.,2785.6407567782,7394.
2785.6736075205,760.,2785.6737324518,7407.
2785.7076644224,768.,2785.7077864927,7412.
2785.7406267447,776.,2785.7407316488,7418.
2785.7770714087,784.,2785.7772194666,7426.
2785.807632379,792.,2785.8077534956,7434.
2785.8406416697,800.,2785.8407596869,7449.
2785.8746439737,808.,2785.8747212214,7448.
2785.9076659006,816.,2785.9077350420,7462.
2785.9416186136,824.,2785.9417647642,7474.
2785.9746603293,832.,2785.974803142,7478.
2786.0109473986,840.,2786.0110964102,7490.
2786.0416108889,848.,2786.0417780203,7497.
2786.0746413988,856.,2786.0747105402,7512.
2786.1086320204,864.,2786.1087621969,7518.
2786.1416107935,872.,2786.1417600435,7531.
2786.1756204886,880.,2786.1757463736,7539.
2786.2085706514,888.,2786.2087129873,7544.
2786.2450129313,896.,2786.2451988978,7553.
2786.2756513876,904.,2786.2757744116,7558.
2786.3086914343,912.,2786.3087424559,7569.
2786.3426505846,920.,2786.3427919668,7575.
2786.3756214899,928.,2786.3757564348,7581.
2786.4086424631,936.,2786.4087654871,7589.
2786.4415997786,944.,2786.4417366308,7595.
2786.474656753,952.,2786.474790029,7605.
2786.5076252741,960.,2786.5078040880,7618.
2786.5406305117,968.,2786.5407294554,7624.
2786.5736402792,976.,2786.5737892908,7634.
2786.6091248316,984.,2786.6092738432,7643.
2786.6405967993,992.,2786.6407038492,7649.
2786.6736418528,1000.,2786.6737901491,7657.
2786.7076827807,1008.,2786.7077340407,7665.
2786.7406226915,1016.,2786.7407736105,7675.
2786.7746886534,1024.,2786.7748197836,7685.
2786.8077291769,1032.,2786.8077844900,7691.
2786.8431720060,1040.,2786.8432978911,7703.
2786.8746694845,1048.,2786.8747364802,7719.
2786.9076020044,1056.,2786.9077319426,7726.
2786.9417011065,1064.,2786.9417979044,7731.
2786.9746324343,1072.,2786.9747454447,7742.
2787.0086056513,1080.,2787.0087429804,7749.
2787.041696958,1088.,2787.0417515558,7758.
2787.0770932955,1096.,2787.0773162169,7762.
2787.1087049765,1104.,2787.1088058275,7769.
2787.1416541857,1112.,2787.1417931837,7778.
2787.1757046503,1120.,2787.1758493704,7784.
2787.2086638731,1128.,2787.2087458891,7791.
2787.2426113409,1136.,2787.2427524847,7803.
2787.2756852430,1144.,2787.2758271021,7809.
2787.3110808653,1152.,2787.3112398905,7821.
2787.3426107687,1160.,2787.3428227228,7827.
2787.3756191057,1168.,2787.3757852835,7833.
2787.4096504969,1176.,2787.4097480101,7839.
2787.4425806326,1184.,2787.4427248758,7854.
2787.4755665583,1192.,2787.4757587237,7858.
2787.5086521429,1200.,2787.508722238,7866.
2787.5449818892,1208.,2787.5451349539,7873.
2787.5756124777,1216.,2787.5757586283,7884.
2787.6086382193,1224.,2787.6087581438,7892.
2787.6426715178,1232.,2787.6427447123,7903.
2787.6755708975,1240.,2787.6756920141,7909.
2787.7096018118,1248.,2787.709719829,7920.
2787.7425824923,1256.,2787.7426957411,7923.
2787.7790674490,1264.,2787.7792074007,7931.
2787.8095969481,1272.,2787.80971878,7936.
2787.8426486773,1280.,2787.8427697939,7945.
2787.8766013903,1288.,2787.8767430109,7948.
2787.9096524042,1296.,2787.9097544474,7956.
2787.9436115545,1304.,2787.9437314791,7963.
2787.9766554159,1312.,2787.9767922682,7966.
2788.0130574030,1320.,2788.0132145208,7975.
2788.0435764116,1328.,2788.0436937136,7982.
2788.0766155047,1336.,2788.0767635626,7988.
2788.1106251997,1344.,2788.1107212824,7996.
2788.1436390204,1352.,2788.1437629980,8001.
2788.1775974554,1360.,2788.1777426523,8010.
2788.2106699270,1368.,2788.2107152266,8019.
2788.2470390123,1376.,2788.2471639437,8029.
2788.2776140494,1384.,2788.2777599615,8033.
2788.3106157107,1392.,2788.3107587618,8040.
2788.3446480555,1400.,2788.3447887224,8055.
2788.3775891585,1408.,2788.3777031225,8062.
2788.411587171,1416.,2788.4116985125,8066.
2788.4446274561,1424.,2788.4447414202,8075.
2788.4810561461,1432.,2788.4812001509,8085.
2788.5115725321,1440.,2788.5117303652,8099.
2788.5446538252,1448.,2788.5447665972,8105.
2788.5786389631,1456.,2788.5787820143,8115.
2788.6116279883,1464.,2788.6117710394,8118.
2788.6466695589,1472.,2788.6467065138,8130.
2788.6796299738,1480.,2788.6797737402,8133.
2788.7150944990,1488.,2788.7152444643,8141.
2788.7465938849,1496.,2788.7467877192,8148.
2788.7796608729,1504.,2788.7797941488,8158.
2788.8136565012,1512.,2788.8137954992,8162.
2788.8466119093,1520.,2788.8467628283,8172.
2788.8806213659,1528.,2788.8807606024,8181.
2788.9136742872,1536.,2788.9137663168,8189.
2788.9489099306,1544.,2788.9490358156,8199.
2788.979548387,1552.,2788.979687385,8210.
2789.0128659529,1560.,2789.0128902716,8224.
2789.0466164869,1568.,2789.046737842,8235.
2789.0795819086,1576.,2789.0797318739,8235.
2789.1136245054,1584.,2789.1137105745,8248.
2789.1466495318,1592.,2789.1467236799,8257.
2789.1829358858,1600.,2789.1830949110,8264.
2789.2136148733,1608.,2789.2137650770,8280.
2789.2466527743,1616.,2789.2466856760,8286.
2789.2796139044,1624.,2789.2797540945,8296.
2789.3128320498,1632.,2789.3129028601,8311.
2789.3457445425,1640.,2789.3457633776,8315.
2789.3786174578,1648.,2789.3787583632,8322.
2789.4116808695,1656.,2789.4117364210,8330.
2789.4445440096,1664.,2789.4447399897,8334.
2789.477626018,1672.,2789.4777523798,8339.
2789.5106097979,1680.,2789.5108355803,8347.
2789.5468944830,1688.,2789.5470225138,8357.
2789.5776273531,1696.,2789.5777754110,8365.
2789.6106461805,1704.,2789.6107034010,8367.
