0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
-0.0531451302,2048.,-0.0530118542,1984.,-0.0528690415,1934.,-0.0527188378,5870.
-0.0482339459,2028.,-0.0480198460,2002.,-0.0478899079,1934.,-0.0477130013,6808.
-0.0432419377,2009.,-0.0431129532,2016.,-0.0429756241,1945.,-0.0428366261,7858.
-0.0380715924,1994.,-0.0371677475,2032.,-0.0369669991,1944.,-0.0367428856,8852.
-0.0331179696,1972.,-0.032971819,2026.,-0.0327927666,1965.,-0.0326578217,9902.
-0.0281436043,1973.,-0.0279917317,2019.,-0.0278737145,1979.,-0.0277287560,11036.
-0.0230407315,1968.,-0.0229045945,2013.,-0.0227696496,1993.,-0.0225917893,12086.
-0.0178386765,1952.,-0.0177065926,2003.,-0.0175997811,2015.,-0.0174617367,13150.
-0.0128597813,1941.,-0.0127408104,1992.,-0.0125627118,2035.,-0.0124437409,14172.
-0.0078427392,1961.,-0.0077085095,1969.,-0.0074874955,2043.,-0.0073024827,15180.
-0.0030021267,1973.,-0.0028619366,1962.,-0.0026805001,2033.,-0.0025455552,16146.
0.0017044944,1978.,0.0018766326,1947.,0.0020194454,2031.,0.0022025508,714.
0.0067761344,2003.,0.0069113178,1944.,0.0070882244,2014.,0.0072281761,1834.
0.0117371482,2018.,0.0119049949,1945.,0.0120492382,1997.,0.0122363967,2842.
0.0168583793,2019.,0.0169992847,1962.,0.0170972747,1990.,0.0172832412,3948.
0.0218282146,2023.,0.0219602985,1970.,0.0221383972,1970.,0.02232341,5166.
0.0268962783,2045.,0.0270553035,1987.,0.0272362632,1940.,0.0273712081,6132.
0.0317314071,2034.,0.0319083137,2012.,0.0320842666,1924.,0.0322723789,7112.
0.0368333263,2007.,0.0369573039,2033.,0.0370922489,1924.,0.0372271938,8008.
0.041903059,1992.,0.0420332355,2055.,0.0421703262,1925.,0.0424442691,8820.
0.0469453735,1975.,0.0470562381,2037.,0.0471613807,1954.,0.0473003787,9730.
0.0518775386,1966.,0.0520635051,2029.,0.0521974964,1970.,0.0523355407,10738.
0.0569129390,1962.,0.0570261878,2026.,0.0571632785,1988.,0.0572982234,11802.
0.0620861453,1963.,0.062245409,2012.,0.0623953742,2000.,0.0625222129,12894.
0.0671732826,1960.,0.0673094196,1999.,0.0674484176,2018.,0.0675814552,14028.
0.0722351474,1962.,0.0723500652,1984.,0.0724833412,2027.,0.0726051731,15092.
0.0769853992,1981.,0.0771193904,1959.,0.0772562427,2037.,0.0774343414,16184.
0.0817614002,2000.,0.0819251937,1935.,0.0820613307,2040.,0.0822403831,766.
0.0867000026,2013.,0.0868280334,1932.,0.0870552463,2021.,0.0871525211,1676.
