0_x,0_y,0_x,0_y,0_x,0_y
-0.4230719431,1953.,-0.4229210241,1978.,-0.4227259977,2029.
-0.4200378282,1998.,-0.4199128969,1935.,-0.4198168142,2035.
-0.4170766695,2047.,-0.4169238432,1943.,-0.4167266710,1973.
-0.4140990599,2036.,-0.4139469488,1986.,-0.4137969835,1939.
-0.4110430105,1993.,-0.4109171255,2028.,-0.4107299669,1941.
-0.4080150946,1952.,-0.4078908785,2038.,-0.4077587946,1979.
-0.4050713404,1950.,-0.4049211367,1990.,-0.4047599657,2030.
-0.4020660742,1966.,-0.4019430502,1956.,-0.4017880781,2036.
-0.3990450724,2018.,-0.3989170416,1949.,-0.3987880571,2005.
-0.3960979803,2042.,-0.3959699495,1958.,-0.3958159311,1964.
-0.393072687,2023.,-0.3929468019,1995.,-0.3927598818,1938.
-0.3900218828,1991.,-0.3898938520,2032.,-0.3897298201,1945.
-0.3869887217,1955.,-0.3868966921,2028.,-0.3867579325,1990.
-0.384069763,1940.,-0.3839207514,1984.,-0.3837598188,2040.
-0.3810459001,1990.,-0.3809157236,1934.,-0.3807867392,2037.
-0.3780687674,2039.,-0.3779407366,1936.,-0.3777867182,1990.
-0.3750682695,2046.,-0.3749469145,1973.,-0.3748167379,1939.
-0.3720417841,2004.,-0.3718968256,2031.,-0.3717568739,1925.
-0.3690167292,1964.,-0.3688617571,2041.,-0.3687339647,1964.
-0.3660400732,1950.,-0.3659101351,2013.,-0.3657430036,2010.
-0.3630333765,1950.,-0.3629201277,1967.,-0.3628128393,2040.
-0.3600908144,2007.,-0.3599677904,1937.,-0.3598407133,2023.
-0.3570347650,2036.,-0.3569427355,1949.,-0.3567868097,1975.
-0.3540492876,2024.,-0.3539369924,1990.,-0.3537951334,1947.
-0.351043783,1980.,-0.3508537634,2035.,-0.3507247789,1948.
-0.3480428083,1953.,-0.3479197844,2019.,-0.3477588518,2000.
-0.3449858053,1961.,-0.3448577745,1976.,-0.3447337969,2024.
-0.3420680387,2006.,-0.3419350012,1950.,-0.3418019636,2008.
-0.3390410765,2036.,-0.3389180525,1966.,-0.3388167246,1961.
-0.3360658510,2011.,-0.335926853,2001.,-0.3358157499,1946.
-0.3330591543,1980.,-0.3329068048,2024.,-0.3327768667,1962.
-0.3300357683,1960.,-0.3298858030,2002.,-0.3297248705,2006.
-0.3270147665,1971.,-0.3268648012,1975.,-0.3267057760,2023.
-0.3240350111,1999.,-0.3239169939,1957.,-0.3237589224,2008.
-0.3210397585,2016.,-0.3209117277,1971.,-0.3207677229,1980.
-0.3180328234,2013.,-0.3179088457,1990.,-0.3177238329,1961.
-0.3150068148,1999.,-0.3148928507,2004.,-0.3147567137,1958.
-0.3120408876,1972.,-0.311919771,2012.,-0.3117578848,1986.
-0.3090148790,1972.,-0.3088858946,1990.,-0.3087237699,2008.
-0.3060358389,1977.,-0.3059106691,1967.,-0.305723749,2023.
-0.3030598982,2021.,-0.3029456957,1948.,-0.3028157576,1998.
-0.3000377043,2029.,-0.2999118193,1974.,-0.2997578009,1961.
-0.2970686777,2007.,-0.2969387396,2002.,-0.2967856749,1951.
-0.2940309866,1979.,-0.2939060553,2027.,-0.2937169893,1965.
-0.2910097464,1960.,-0.2908817156,2005.,-0.2907548769,2005.
-0.2879858835,1978.,-0.2878578527,1974.,-0.2877577169,2019.
-0.2850550039,1996.,-0.2849300726,1959.,-0.2848008497,2006.
-0.2820306642,2025.,-0.2819028719,1964.,-0.2817188127,1977.
-0.2790387495,2014.,-0.2788937910,1992.,-0.2787578924,1955.
-0.2760427816,1989.,-0.2759140356,2007.,-0.2757566793,1968.
-0.2730611189,1974.,-0.272929035,2012.,-0.2727731092,1981.
-0.2700188978,1971.,-0.2698558195,1987.,-0.2697077616,2012.
-0.2670636995,1979.,-0.2669356687,1968.,-0.2668197973,2016.
-0.2640441282,2011.,-0.2639146669,1961.,-0.2638188227,1992.
-0.2610128744,2027.,-0.26088389,1972.,-0.2607186659,1963.
-0.2580347879,2008.,-0.2579086645,2005.,-0.2577808721,1944.
-0.2550440653,1980.,-0.2548950537,2026.,-0.254757963,1963.
-0.2520180567,1961.,-0.2518599852,2010.,-0.2517569883,2000.
-0.2490340097,1956.,-0.2488849981,1988.,-0.2487190588,2027.
-0.2460747583,1975.,-0.2459097727,1950.,-0.2457807882,2034.
-0.2430709227,2018.,-0.2428887709,1950.,-0.2427178247,2000.
-0.2400186880,2029.,-0.2398637159,1968.,-0.2397557123,1964.
-0.2370088919,2018.,-0.2368877752,2002.,-0.236712776,1939.
-0.2340119703,1979.,-0.2338689192,2029.,-0.2337571009,1963.
-0.2310067041,1958.,-0.2308836801,2022.,-0.2307277544,1995.
-0.2280438765,1952.,-0.2279098852,1982.,-0.2278188093,2026.
-0.2250388487,1998.,-0.2249067648,1939.,-0.2247176989,2028.
-0.2220407350,2043.,-0.2219208105,1946.,-0.2218178137,1980.
-0.2190388067,2033.,-0.218885742,1986.,-0.2187317236,1939.
-0.2160666807,1987.,-0.2159138544,2034.,-0.2158177717,1945.
-0.2130390032,1954.,-0.2128871305,2026.,-0.2127230986,1995.
-0.210002981,1960.,-0.2098561151,1988.,-0.2097559793,2023.
-0.2070430143,1980.,-0.2069130762,1956.,-0.2067566736,2028.
-0.2040420397,2029.,-0.2039140089,1951.,-0.2038179262,1991.
-0.2009869440,2033.,-0.2008601053,1976.,-0.2007320745,1951.
-0.1980567797,2003.,-0.1979137285,2009.,-0.1977847441,1950.
-0.1949840410,1976.,-0.1948951109,2025.,-0.194708906,1966.
-0.1920128687,1956.,-0.1918578966,2011.,-0.1917558535,2006.
-0.1890388353,1964.,-0.1889098509,1971.,-0.1887148245,2027.
-0.1860569342,2001.,-0.1859329565,1945.,-0.1857808454,2018.
-0.1829846724,2031.,-0.1828719004,1962.,-0.1827028616,1967.
-0.1800638063,2030.,-0.1799388750,1993.,-0.1797908171,1937.
-0.1770377977,1985.,-0.1769147737,2036.,-0.1767218931,1946.
-0.1740461214,1959.,-0.1738880499,2027.,-0.1737168653,1989.
-0.1709838732,1956.,-0.1708947046,1990.,-0.1707108839,2028.
-0.1680618151,1963.,-0.1679337843,1954.,-0.1678176744,2042.
-0.1650367601,2017.,-0.1649068220,1941.,-0.1647177561,2011.
-0.1620608194,2036.,-0.1619346960,1952.,-0.1617806776,1972.
-0.1590426786,2024.,-0.1589227541,1993.,-0.1587198599,1941.
-0.1560347898,1985.,-0.1558817251,2042.,-0.1557527407,1940.
-0.1529811247,1950.,-0.1528600080,2031.,-0.1527229174,1996.
-0.1500709875,1946.,-0.1498850210,1984.,-0.1497140749,2035.
-0.1470380648,1999.,-0.1469477041,1934.,-0.1467188223,2031.
-0.1440349443,2049.,-0.1438828333,1939.,-0.1437528952,1980.
-0.1410346849,2045.,-0.1409097536,1976.,-0.1407807692,1940.
-0.1380468233,2002.,-0.1378956659,2023.,-0.1377206667,1935.
-0.1350160463,1963.,-0.1348610743,2033.,-0.1347308977,1976.
-0.1320148333,1953.,-0.1318858488,2001.,-0.1317528112,2014.
-0.1290427072,1956.,-0.1289137228,1971.,-0.1287847383,2032.
-0.1260338648,2005.,-0.1259199007,1944.,-0.1257220133,2018.
-0.1230419500,2049.,-0.1229089125,1947.,-0.1227839811,1964.
-0.1200390680,2031.,-0.1198879106,1999.,-0.1197539194,1928.
-0.1170330866,1981.,-0.1169467791,2036.,-0.1167858465,1947.
-0.1139751299,1955.,-0.1138609274,2016.,-0.1136921270,2002.
-0.1110149248,1950.,-0.1108790262,1982.,-0.1107209547,2033.
-0.1080108507,1984.,-0.1078818663,1943.,-0.1077156885,2035.
-0.1050370558,2029.,-0.1049059256,1945.,-0.1047781332,1996.
-0.1020367964,2036.,-0.1019056662,1969.,-0.1017137392,1953.
-0.0990627630,2013.,-0.0988927706,2016.,-0.0987778528,1931.
-0.0960338934,1975.,-0.0959058626,2034.,-0.0957167967,1961.
-0.0930140837,1957.,-0.0928610189,2016.,-0.0927189215,2004.
-0.0900400503,1956.,-0.0899117811,1975.,-0.0897217615,2031.
-0.0870598181,2007.,-0.0869077070,1937.,-0.0867796762,2025.
-0.0839842184,2037.,-0.0838559492,1957.,-0.0837140902,1968.
-0.081063114,2018.,-0.0809241159,1994.,-0.0807770117,1946.
-0.0779848917,1974.,-0.0778537615,2033.,-0.0777166708,1962.
-0.0750149115,1954.,-0.0748837812,2010.,-0.0747207029,2006.
-0.0719798429,1970.,-0.0718468054,1975.,-0.0717137678,2026.
-0.0690596922,1995.,-0.0689328535,1954.,-0.0687766893,2014.
-0.0660417898,2032.,-0.0659128054,1968.,-0.0657196863,1960.
-0.0630608423,2013.,-0.0629127844,2000.,-0.0627837999,1949.
-0.0600748880,1977.,-0.0599127634,2015.,-0.0597508772,1973.
-0.0570128782,1971.,-0.0568867548,1998.,-0.0567208155,2000.
-0.0540119036,1976.,-0.0538581236,1972.,-0.0537179335,2022.
-0.0510419233,1994.,-0.0508869513,1959.,-0.0507198198,2010.
-0.0480378492,2025.,-0.0479107721,1966.,-0.0477517469,1973.
-0.0450139864,2019.,-0.0448859556,1994.,-0.0447538717,1948.
-0.0420397146,1991.,-0.0419088228,2020.,-0.0417817457,1948.
-0.0390148981,1960.,-0.0388856752,2027.,-0.0387197359,1987.
-0.0360127314,1961.,-0.0358596666,1981.,-0.0357197149,2023.
-0.0330150946,1987.,-0.0328861101,1958.,-0.0327211245,2025.
-0.0300386770,2010.,-0.0299096926,1949.,-0.0297819002,2003.
-0.0270408018,2029.,-0.0268827303,1967.,-0.0267186983,1966.
-0.0240391119,2007.,-0.0239120348,2000.,-0.0237828119,1952.
-0.0210138185,1981.,-0.0208848341,2024.,-0.0207198484,1962.
-0.0180078371,1962.,-0.0178607328,2012.,-0.0177157743,1997.
-0.0149887426,1973.,-0.0148347242,1979.,-0.0146907194,2016.
-0.0120397432,1990.,-0.0119107588,1966.,-0.0117708071,2007.
-0.0090328081,2024.,-0.0088768824,1957.,-0.0087157114,1986.
-0.0060110910,2023.,-0.0058430059,1985.,-0.0057130678,1951.
-0.0030089243,1993.,-0.0028811319,2011.,-0.0027140005,1957.
-0.000061117,1968.,0.0000981466,2020.,0.0002252237,1985.
0.0029811041,1959.,0.0031322615,1992.,0.0032753126,2019.
0.0059830324,1977.,0.0061360971,1964.,0.0062760489,2029.
0.0089570658,2006.,0.0090860502,1950.,0.0092739241,2008.
0.0119580404,2032.,0.0120839254,1969.,0.0121869223,1967.
0.014957823,2024.,0.0151101725,1993.,0.0152792112,1944.
0.0179871695,1999.,0.0181152002,2018.,0.0182801859,1949.
0.0210103170,1973.,0.021145262,2016.,0.0212821142,1981.
0.0239912645,1963.,0.0241192953,1997.,0.0242501871,2008.
0.0269579069,1963.,0.0270849840,1974.,0.0272761957,2027.
0.0299862997,2001.,0.0301221983,1945.,0.0302802698,2024.
0.0330151693,2039.,0.0331491606,1946.,0.0332802908,1979.
0.0359388964,2046.,0.0360669272,1986.,0.0362252371,1927.
0.0389801638,1987.,0.0390953199,2047.,0.0392312185,1933.
0.0419992582,1949.,0.0421213285,2038.,0.0422832148,1983.
0.0449928419,1940.,0.0451451914,2004.,0.0452801363,2030.
0.0479671137,1966.,0.0481201784,1946.,0.0482482092,2044.
0.0509361403,2023.,0.0510613100,1930.,0.0511902945,2010.
0.0539611952,2047.,0.0540861265,1951.,0.0542482512,1960.
0.0569910185,2024.,0.0571450369,2003.,0.0572809355,1931.
0.0599750654,1978.,0.0601262228,2044.,0.0602492468,1942.
0.0629972593,1944.,0.0631522314,2026.,0.0632843153,2003.
0.0659937040,1944.,0.0660950319,1981.,0.0662800448,2036.
0.0691401140,2002.,0.0691432135,1933.,0.0692631380,2031.
0.0723022596,2049.,0.0723113195,1946.,0.0723132269,1972.
0.0749827997,2036.,0.0751039164,1991.,0.0752312319,1935.
0.0779961721,1993.,0.0781222956,2027.,0.0782841818,1942.
0.0809871332,1957.,0.0811421053,2030.,0.0812851564,1985.
0.0839852469,1949.,0.0841471331,1996.,0.0842522757,2028.
0.0870677607,1962.,0.0871087687,1958.,0.0872177259,2037.
0.0900727884,2013.,0.0901416914,1942.,0.0902887957,2012.
0.0929628984,2045.,0.0931278841,1948.,0.0932509081,1967.
0.0960127489,2037.,0.0961109774,1998.,0.0962709562,1926.
0.0990130083,1986.,0.0990649836,2043.,0.0992049353,1936.
0.1020490305,1947.,0.102178015,2033.,0.1022929327,1992.
0.1050190107,1944.,0.1051370279,1984.,0.1053070204,2041.
0.1079918520,1986.,0.1080648081,1931.,0.1082567350,2044.
0.1110207216,2037.,0.1110409872,1932.,0.1112529413,1999.
0.1139849798,2054.,0.1141430513,1955.,0.1143070833,1947.
0.1171247141,2020.,0.1171347277,2025.,0.1172057764,1915.
0.1201466696,1967.,0.1201566832,2056.,0.1202656405,1945.
0.1230496542,1942.,0.1230827944,2027.,0.1233076231,2007.
0.1259843485,1937.,0.1261095182,1981.,0.1262807028,2042.
0.1289519445,1998.,0.1290930883,1923.,0.1292399542,2044.
0.1320039408,2058.,0.1320709364,1930.,0.1322640554,1980.
0.1350087301,2048.,0.1351267473,1985.,0.1352767126,1929.
0.1379765646,1997.,0.1381048338,2039.,0.1383127348,1927.
0.1409896986,1946.,0.1411477701,2044.,0.1413058416,1979.
0.1440416948,1935.,0.1441547052,2001.,0.1442698614,2036.
0.1469906942,1965.,0.1471447126,1954.,0.1473068373,2045.
0.1499447004,2020.,0.1501089708,1934.,0.1502498762,2016.
0.1530138628,2056.,0.1531230585,1947.,0.153252043,1962.
0.1559917109,2035.,0.1561118738,2000.,0.1562022345,1924.
0.1590031759,1981.,0.1590992586,2040.,0.1592921392,1941.
0.1619981901,1948.,0.1621381418,2020.,0.1622733252,2007.
0.1650182383,1945.,0.1651724951,1975.,0.165314831,2044.
0.1679658072,1983.,0.1680947916,1932.,0.1681927816,2044.
0.171068825,2043.,0.1710898058,1936.,0.1712516920,1991.
0.1739806311,2043.,0.174112715,1975.,0.1742197649,1944.
0.1770300047,2014.,0.1771499292,2023.,0.1773010866,1922.
0.180002846,1968.,0.1801170485,2038.,0.1802610533,1961.
0.1830310003,1953.,0.1831583159,2016.,0.1833111422,2006.
0.1859728472,1957.,0.1860973017,1974.,0.1862272398,2035.
0.1890021936,2011.,0.1891283171,1927.,0.1892851965,2030.
0.1919681208,2057.,0.192086138,1950.,0.1921912806,1959.
0.1949643271,2021.,0.1950928347,2006.,0.1952709333,1931.
0.1979450361,1976.,0.1980940477,2042.,0.1982220785,1952.
0.2009889261,1944.,0.2011438982,2022.,0.2012778894,2006.
0.2039932386,1966.,0.2041122095,1972.,0.2042602675,2030.
0.2069763319,2001.,0.2071031706,1954.,0.2072941439,2012.
0.2099413054,2035.,0.2100772039,1964.,0.2102331297,1966.
0.2130302565,2024.,0.2130791323,1999.,0.2132832186,1939.
0.2159549372,1981.,0.2161060946,2026.,0.2161919252,1955.
0.2189771311,1951.,0.2191082613,2016.,0.2192942278,2007.
0.2219633238,1955.,0.2221342699,1973.,0.2222932951,2040.
0.2250296251,1995.,0.225114979,1937.,0.2252868788,2035.
0.2279519217,2042.,0.2280749456,1943.,0.2281929628,1980.
0.2309939043,2036.,0.2311479227,1992.,0.2312831060,1936.
0.2339371817,1999.,0.2341341154,2023.,0.2342852728,1936.
0.2369941847,1956.,0.23714415,2035.,0.2372841017,1976.
0.2400042193,1956.,0.2401363031,1996.,0.2402531282,2020.
0.2430011408,1983.,0.2431623117,1954.,0.2432972567,2028.
0.2460030691,2003.,0.2461330072,1950.,0.2462939398,2011.
0.2489790098,2038.,0.2491048948,1961.,0.2492980139,1969.
0.2520090715,2021.,0.2521371023,2000.,0.2522541658,1943.
0.255097069,1983.,0.2551008837,2025.,0.2553161757,1956.
0.2581082956,1956.,0.2581121103,2032.,0.2584151403,1987.
0.2611571924,1957.,0.2611612455,1976.,0.2613553183,2035.
0.2640232222,1991.,0.2641801016,1949.,0.2643162386,2024.
0.2669767515,2029.,0.2671119349,1945.,0.2672349588,1991.
0.2700063364,2043.,0.2701331751,1978.,0.2702962534,1944.
0.2732161657,2004.,0.2732202189,2018.,0.2732512133,1937.
0.2759739534,1972.,0.2761370318,2028.,0.2762529032,1971.
0.2789498941,1958.,0.2791098730,2006.,0.279230036,2010.
0.2820219175,1973.,0.2821540014,1969.,0.2823189871,2025.
0.2849730627,1994.,0.2850870268,1961.,0.2852160112,2010.
0.2879733221,2017.,0.2881292479,1958.,0.288259186,1995.
0.2909711973,2032.,0.2910682337,1977.,0.2912463324,1950.
0.2939709799,2007.,0.2940909044,2017.,0.2942868845,1938.
0.2970217840,1971.,0.2971300261,2035.,0.2972659246,1961.
0.300073065,1950.,0.3001178877,2010.,0.3003079073,2012.
