0_x,0_y,0_x,0_y
-0.0089388928,28.,-0.0070739827,19.
-0.0069418988,30.,-0.0050378880,31.
-0.0049038968,28.,-0.0030349335,32.
-0.0028999886,39.,-0.0010744176,20.
-0.0009401879,49.,0.000965015,3.
0.0010999599,51.,0.0029710689,-8.
0.0031000533,46.,0.0049680629,-15.
0.0050870338,37.,0.0069271484,-37.
0.0070599475,38.,0.0089517989,-55.
0.009128944,52.,0.0109509387,-83.
0.0110861221,63.,0.0129500785,-112.
0.0130850234,71.,0.0149239459,-95.
0.0150591293,52.,0.0169650474,-64.
0.0171400466,29.,0.0189627567,-30.
0.01909794,14.,0.0209590354,-1.
0.0210911193,6.,0.0229391017,23.
0.0230671325,10.,0.0249270358,38.
0.0251029888,6.,0.0269509712,46.
0.0270859161,0.,0.0289515415,46.
0.0290860095,7.,0.0309261241,57.
0.0310603538,10.,0.0329803386,67.
0.0331672588,22.,0.0349701801,63.
0.0351003566,29.,0.0369302192,65.
0.0370663562,29.,0.038926498,42.
0.0390607276,39.,0.0409521022,25.
0.0410860935,51.,0.0429641166,2.
0.0430971542,66.,0.0449632564,-9.
0.0450972476,59.,0.0469211498,-41.
0.0470632472,58.,0.0489527145,-52.
0.0490878978,42.,0.0509511390,-34.
0.0510860839,26.,0.0529269138,-1.
0.0530649581,12.,0.0549279609,27.
0.0550619521,14.,0.0569521346,36.
0.0570880332,21.,0.0589596191,29.
0.0590902725,24.,0.0609392085,22.
0.0610672393,32.,0.0629283347,23.
0.063062326,37.,0.0649522701,31.
0.065087215,46.,0.0669642845,16.
0.0670973220,56.,0.0689267078,3.
0.069057838,55.,0.0709639945,-19.
0.0710970321,52.,0.0729531207,-25.
0.073087112,43.,0.0749641815,-22.
0.0750972190,41.,0.0769251743,-55.
0.0770591655,56.,0.0789982238,-89.
0.079182283,72.,0.0809656539,-111.
0.0810779491,75.,0.0829709926,-112.
0.0830971160,61.,0.0849210182,-80.
0.0850609699,43.,0.0869521060,-35.
0.0871290126,27.,0.0889538684,0.
0.0890871444,23.,0.0909501472,18.
0.0910860458,24.,0.0929290214,23.
0.0930611053,22.,0.0949651161,43.
0.0951010146,10.,0.0969699779,57.
0.0971011081,8.,0.0989648261,65.
0.0990899959,16.,0.1009310642,58.
0.1010600486,34.,0.1029521385,59.
0.1031299987,33.,0.1049639144,63.
0.105096952,30.,0.1069640079,55.
0.1070550838,41.,0.1089207092,39.
0.1090630451,62.,0.1109539428,4.
0.1111320415,77.,0.1129650035,-17.
0.1130989948,73.,0.1149209895,-36.
0.1150621333,60.,0.1169260898,-46.
0.1170593658,49.,0.118997232,-25.
0.1191302696,39.,0.1209629932,-2.
0.1210779109,37.,0.1229289928,33.
0.1230629840,21.,0.1249259868,36.
0.1250590244,26.,0.1269639888,42.
0.1270970264,30.,0.1289528766,40.
0.1290871063,40.,0.1309250751,43.
0.1310600200,54.,0.1329270759,34.
0.1330639282,63.,0.1349529186,10.
0.1350890556,69.,0.1369730392,-5.
0.1371013084,60.,0.1389295020,-8.
0.1390680232,54.,0.1409341255,-11.
0.1410609641,53.,0.142953054,-16.
0.1430879989,56.,0.1449650684,-61.
0.1450969138,70.,0.1469270149,-109.
0.1470600524,79.,0.1489659705,-125.
0.1491409698,70.,0.1509541431,-105.
0.1510881343,48.,0.1529530444,-77.
0.1530870357,41.,0.1549209514,-35.
0.1550620952,34.,0.1569529929,-20.
0.1571670928,38.,0.1589592853,-9.
0.1590901771,39.,0.1609665313,18.
0.1610940852,18.,0.1629260936,36.
0.1630629459,12.,0.1649559894,55.
0.1651312270,15.,0.1669532218,56.
0.1670872131,28.,0.1689549842,47.
0.1690870681,37.,0.1709319511,56.
0.1710590282,30.,0.1729539790,58.
0.1731332698,32.,0.1749662319,60.
0.1751002231,45.,0.176967279,46.
0.1770993629,60.,0.1789275565,8.
0.1790529647,73.,0.180962936,-14.
0.1810981193,64.,0.1829620757,-34.
0.1830760398,61.,0.1849209228,-39.
0.1850630203,57.,0.1869269767,-16.
0.1870602527,47.,0.1889652171,8.
0.1891004005,34.,0.1909650722,17.
0.1910981098,24.,0.1929210582,26.
0.1930629173,27.,0.1949581065,48.
0.1950930515,25.,0.1969770351,52.
0.1971100726,42.,0.1989797511,43.
0.1991020599,58.,0.2009259620,35.
0.2010640064,60.,0.2029279628,13.
0.2030610004,57.,0.2049521365,5.
0.2050870815,54.,0.2069679656,14.
0.2071000495,51.,0.2089218059,4.
0.2090627113,57.,0.2109259525,-21.
0.2110670963,60.,0.212955133,-69.
0.2130900779,66.,0.2149700084,-99.
0.2151011386,53.,0.2169300475,-114.
0.2170649925,49.,0.2189558902,-101.
0.2191320815,39.,0.2209681430,-78.
0.2210971275,39.,0.2229629913,-56.
0.2230760017,39.,0.2249220767,-37.
0.2250641742,32.,0.2269643703,-13.
0.2271431842,19.,0.2289647022,12.
0.2290991702,5.,0.2309643188,45.
0.2310983100,-1.,0.2329272189,51.
0.2330671707,11.,0.2349642673,41.
0.2351373592,23.,0.2369672218,35.
0.2371002593,25.,0.2389668384,53.
0.2390977302,18.,0.2409256854,59.
0.2410599151,22.,0.2429670253,60.
0.2431429782,38.,0.2449659267,30.
0.2450989642,57.,0.2469970146,0.
0.2471281448,65.,0.2489546695,-19.
0.2490896144,57.,0.2510425010,-26.
0.2511776843,49.,0.2530228057,-29.
0.2531238952,55.,0.2550085941,-24.
0.2551428237,48.,0.2569788852,-12.
0.2571107307,40.,0.258967773,5.
0.2591427722,17.,0.2609728732,40.
0.2611056724,7.,0.2629684367,60.
0.2630838313,14.,0.2649277606,70.
0.2650698581,31.,0.2669657626,50.
0.2670937934,50.,0.2689947048,37.
0.2691100993,51.,0.2709728637,12.
0.2710799136,56.,0.2729259887,13.
0.2730671325,52.,0.2749549308,23.
0.2750903526,53.,0.2769671836,6.
0.2771002212,61.,0.2789207855,-18.
0.2790552535,59.,0.28091921,-52.
0.2810532012,56.,0.2829622188,-86.
0.2830761829,49.,0.2849642196,-98.
0.2850982108,47.,0.2869662204,-96.
0.2871073642,44.,0.288960115,-74.
0.2890929141,38.,0.2909728446,-64.
0.291097776,38.,0.292966024,-49.
0.2930981078,25.,0.2949201026,-12.
0.2950531402,12.,0.2969640651,10.
0.2971459785,6.,0.2989529529,37.
0.2990881362,9.,0.300965921,46.
0.3011320987,19.,0.3030949989,50.
0.3031200328,20.,0.3050469318,42.
0.3051880756,25.,0.3069909969,46.
0.3071321407,27.,0.3089960971,57.
0.3091000476,31.,0.3109251418,52.
0.3110650935,44.,0.3129612365,22.
0.3131352821,59.,0.3149622836,-1.
0.3150912681,61.,0.316958324,-23.
0.3170892158,62.,0.3189233699,-28.
0.3190649906,60.,0.320953981,-41.
0.321131126,69.,0.3229650417,-35.
0.3230990329,58.,0.3249660888,-24.
0.3250991264,46.,0.3269230285,3.
0.3270629802,23.,0.3289526859,42.
0.329131023,14.,0.331004993,65.
0.3311411300,27.,0.3329290309,56.
0.333068029,40.,0.3349319854,35.
0.3350609699,54.,0.3369540134,39.
0.3370880046,46.,0.3389679351,35.
0.3391009727,48.,0.3409274974,27.
0.3410650649,60.,0.3429309287,28.
0.343062059,61.,0.3449529567,6.
0.3451312938,63.,0.3469861904,-7.
0.3471151748,55.,0.3490115562,-37.
0.3491076389,57.,0.3510228553,-62.
0.3511299053,57.,0.3529707351,-94.
0.3531454959,67.,0.3550228038,-99.
0.3551367679,65.,0.3569818893,-94.
0.3571196952,51.,0.3589817443,-71.
0.3591538825,36.,0.3609777847,-38.
0.3611117759,16.,0.3629778781,-5.
0.3631118694,8.,0.3649355331,24.
0.3650678554,13.,0.3669628063,37.
0.3671409049,16.,0.3689786353,30.
0.3691078582,26.,0.3709799209,33.
0.3710850635,23.,0.3729370990,34.
0.3730639377,28.,0.3749700942,65.
0.3751450935,26.,0.3769689956,68.
0.3771010795,34.,0.3789657512,42.
0.3790790000,54.,0.3809241214,21.
0.3810650268,57.,0.3829540172,6.
0.3831321159,60.,0.3849669853,-2.
0.3851000228,65.,0.3869649329,-27.
0.3871001163,70.,0.3889256873,-56.
0.3890928188,77.,0.390958921,-64.
0.391136066,59.,0.3929621139,-34.
0.3930910983,34.,0.3949660220,5.
0.3951000133,17.,0.3969239154,33.
0.3970650592,21.,0.3989540496,37.
0.3991321483,33.,0.4009660640,35.
0.4011000552,36.,0.4029659190,36.
0.4030560413,37.,0.4049750724,45.
0.4050890365,43.,0.4070009151,55.
0.4071990409,51.,0.4089547553,30.
0.4090908923,64.,0.4109710613,12.
0.4110580840,65.,0.4129311004,0.
